17:03:01.048740 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.39086: UDP, length 70
17:03:01.052013 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1201
17:03:01.055265 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1201
17:03:01.059517 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1201
17:03:01.063910 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1201
17:03:01.065404 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 90
17:03:01.067139 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1201
17:03:01.070399 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.074700 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.075846 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 58
17:03:01.078065 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.082337 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.086094 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 86
17:03:01.086759 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.087865 IP lior-Lenovo-YOGA-520-14IKB.32892 > 142.250.82.70.3478: UDP, length 42
17:03:01.089988 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.094385 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.097497 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.099366 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.39086: UDP, length 70
17:03:01.102169 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.104861 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 94
17:03:01.105289 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.109931 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.113303 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.116424 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 65
17:03:01.116743 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.121163 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.123454 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [.], seq 1322983992:1322985440, ack 1904722465, win 7866, options [nop,nop,TS val 191270436 ecr 3094532659], length 1448: HTTP
17:03:01.123489 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 1448, win 63712, options [nop,nop,TS val 3094533450 ecr 191270436], length 0
17:03:01.123523 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [.], seq 1448:2896, ack 1, win 7866, options [nop,nop,TS val 191270436 ecr 3094532659], length 1448: HTTP
17:03:01.123533 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 2896, win 63712, options [nop,nop,TS val 3094533450 ecr 191270436], length 0
17:03:01.123539 00:80:30:08:ec:05 (oui Unknown) Unknown SSAP 0x80 > 30:08:ec:05:00:00 (oui Unknown) Null Information, send seq 0, rcv seq 0, Flags [Command], length 6
	0x0000:  0080 0000 0000                           ......
17:03:01.123566 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [P.], seq 2896:4096, ack 1, win 7866, options [nop,nop,TS val 191270436 ecr 3094532659], length 1200: HTTP
17:03:01.123579 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 4096, win 62512, options [nop,nop,TS val 3094533451 ecr 191270436], length 0
17:03:01.124170 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 112
17:03:01.124554 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.128101 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.132672 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.136046 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.138338 IP lior-Lenovo-YOGA-520-14IKB.32892 > 142.250.82.70.3478: UDP, length 38
17:03:01.139427 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.142149 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 115
17:03:01.143632 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [.], seq 4096:5544, ack 1, win 7866, options [nop,nop,TS val 191270438 ecr 3094533451], length 1448: HTTP
17:03:01.143691 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 5544, win 63712, options [nop,nop,TS val 3094533471 ecr 191270438], length 0
17:03:01.143743 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [.], seq 5544:6992, ack 1, win 7866, options [nop,nop,TS val 191270438 ecr 3094533451], length 1448: HTTP
17:03:01.143761 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 6992, win 63712, options [nop,nop,TS val 3094533471 ecr 191270438], length 0
17:03:01.143769 00:80:30:08:ec:05 (oui Unknown) Unknown SSAP 0x80 > 30:08:ec:05:00:00 (oui Unknown) Null Information, send seq 0, rcv seq 0, Flags [Command], length 6
	0x0000:  0080 0000 0000                           ......
17:03:01.143789 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [P.], seq 6992:8192, ack 1, win 7866, options [nop,nop,TS val 191270438 ecr 3094533451], length 1200: HTTP
17:03:01.143804 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 8192, win 62512, options [nop,nop,TS val 3094533471 ecr 191270438], length 0
17:03:01.144227 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.144477 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [.], seq 8192:9640, ack 1, win 7866, options [nop,nop,TS val 191270438 ecr 3094533471], length 1448: HTTP
17:03:01.144505 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 9640, win 63712, options [nop,nop,TS val 3094533471 ecr 191270438], length 0
17:03:01.144580 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [.], seq 9640:11088, ack 1, win 7866, options [nop,nop,TS val 191270438 ecr 3094533471], length 1448: HTTP
17:03:01.144599 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 11088, win 63712, options [nop,nop,TS val 3094533472 ecr 191270438], length 0
17:03:01.144606 00:80:30:08:ec:05 (oui Unknown) Unknown SSAP 0x80 > 30:08:ec:05:00:00 (oui Unknown) Null Information, send seq 0, rcv seq 0, Flags [Command], length 6
	0x0000:  0080 0000 0000                           ......
17:03:01.144626 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [P.], seq 11088:12223, ack 1, win 7866, options [nop,nop,TS val 191270438 ecr 3094533471], length 1135: HTTP
17:03:01.144673 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [.], ack 12223, win 62577, options [nop,nop,TS val 3094533472 ecr 191270438], length 0
17:03:01.145158 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [F.], seq 12223, ack 1, win 7866, options [nop,nop,TS val 191270438 ecr 3094533472], length 0
17:03:01.145445 IP lior-Lenovo-YOGA-520-14IKB.45358 > Dlink-Router.018.co.il.http: Flags [F.], seq 1, ack 12224, win 63712, options [nop,nop,TS val 3094533472 ecr 191270438], length 0
17:03:01.145829 IP Dlink-Router.018.co.il.http > lior-Lenovo-YOGA-520-14IKB.45358: Flags [.], ack 2, win 7866, options [nop,nop,TS val 191270438 ecr 3094533472], length 0
17:03:01.147329 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.149556 IP lior-Lenovo-YOGA-520-14IKB.32892 > 142.250.82.70.3478: UDP, length 65
17:03:01.150376 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.39086: UDP, length 70
17:03:01.151684 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.155121 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.158512 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.161116 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 114
17:03:01.162931 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.167093 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.170506 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.173716 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.177997 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.178860 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.39086: UDP, length 65
17:03:01.182352 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 105
17:03:01.182448 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.185766 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.187328 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 74
17:03:01.188351 IP lior-Lenovo-YOGA-520-14IKB.32892 > 142.250.82.70.3478: UDP, length 42
17:03:01.189990 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.193262 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.196505 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 112
17:03:01.196574 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.200987 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.201272 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.39086: UDP, length 70
17:03:01.202661 IP 142.250.82.70.3478 > lior-Lenovo-YOGA-520-14IKB.32892: UDP, length 96
17:03:01.204233 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
17:03:01.208447 IP lior-Lenovo-YOGA-520-14IKB.39086 > 142.250.82.70.3478: UDP, length 1202
